Problem,Greedy,BruteForce,Branch&Bound,Dynamic,Dynamic_ortools,Integer_ortools
100_1000_1_2_5,0,10.87422395,10.03485107,10.28054786,0.078119516,0.021999836
100_1000_1_3_5,0,11.26480079,10.02330732,10.13993335,0.124989271,0.050999403
100_1000_1_4_5,0,11.9678998,10.03050709,10.10868073,0.187487841,0.019000053
100_1000_1_5_5,0,10.82732749,10.00086522,10.06181479,0.265608311,0.022981644
100_1000_2_1_5,0,11.50874424,10.15721774,7.265132189,0.015619755,0.094015598
100_1000_2_2_5,0.000998735,11.38984227,10.05038881,10.10868335,0.062494993,0.053999901
100_1000_2_3_5,0,11.49918199,10.03346252,10.06181598,0.093743801,0.066002369
100_1000_2_4_5,0,11.1398313,10.02627826,10.12432647,0.171859503,0.100000381
100_1000_2_5_5,0,11.4522891,10.02027655,10.04617,0.218732834,0.049047947
100_1000_3_1_5,0,15.07707524,10.04725862,7.343249798,0.031244993,0.293985128
100_1000_3_2_5,0,10.76483488,10.02827668,10.06179404,0.109367132,0.027000427
100_1000_3_3_5,0,11.20232606,10.02228975,10.10187626,0.171863079,0.039000988
100_1000_3_4_5,0,11.99918413,10.02097702,10.04618478,0.281245232,0.049000025
100_1000_3_5_5,0.015642643,10.84297585,10.02394152,10.04619265,0.374955416,0.068983078
100_1000_4_1_5,0,28.73235297,1.327992439,6.265198469,0,0.037988663
100_1000_4_2_5,0,11.23360991,10.13993835,10.48367548,0.015623569,0.169999361
100_1000_4_3_5,0,11.38982749,10.02442288,10.14895678,0.046870232,0.030955791
100_1000_4_4_5,0,11.17105031,10.03056788,10.04617095,0.12499404,0.122984886
100_1000_4_5_5,0,11.75821567,10.02113271,10.0930624,0.171860933,0.014000416
500_50_1_1_5,0,11.38981366,10.01490712,9.718090534,0.140597105,0.053985357
500_50_1_2_5,0.005993128,11.60852528,10.00186205,10.09305668,0.421860456,0.06400013
500_50_1_3_5,0.000998497,10.70237732,10.01494074,10.03056479,0.765572786,0.048999548
500_50_1_4_5,0,11.5148077,10.0067246,10.06180882,1.2342906,0.05096817
500_50_1_5_5,0,11.97636342,10.0124352,10.04619288,1.9061234,0.050987005
500_50_2_1_5,0,10.81176186,10.00299668,9.093145609,0.109347343,0.047962189
500_50_2_2_5,0,11.03044319,10.01544666,10.12430978,0.312492847,0.042997122
500_50_2_3_5,0,11.04608774,10.00297689,10.04617405,0.6249547,0.065997839
